designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P5,AGENT_0010,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0010,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0002,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0002,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0009,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0012,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0013,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0012,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0014,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0015,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0016,DesignJournal+Agent,OTHER,drawing,CREATE_DRAWING_USER,CREATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0016,DesignJournal+Agent,OTHER,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0012,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0010,DesignJournal+Agent,spark,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0017,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0018,DesignJournal+Agent,OTHER,todo,CREATE_TODO_USER,CREATE
P5,AGENT_0018,DesignJournal+Agent,OTHER,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0018,DesignJournal+Agent,OTHER,todo,ELABORATE_TODO,ELABORATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0009,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0010,DesignJournal+Agent,spark,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P5,AGENT_0018,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0018,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0019,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P5,AGENT_0020,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0021,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0022,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0023,DesignJournal+Agent,OTHER,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0023,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0024,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0025,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0026,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0025,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0024,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0027,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0028,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0012,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0016,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0028,DesignJournal+Agent,DELETE,connector,RELATE_DELETE_USER,RELATE
P5,AGENT_0029,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0024,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0023,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P5,AGENT_0023,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0027,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0024,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0026,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0025,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0030,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,OTHER,column,ELABORATE_COLUMN,ELABORATE
P5,AGENT_0029,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0030,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0029,DesignJournal+Agent,OTHER,image,STRUCTURE_MOVE,STRUCTURE
P5,AGENT_0031,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P5,AGENT_0032,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0033,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0034,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0012,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0010,DesignJournal+Agent,spark,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0016,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0035,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0036,DesignJournal+Agent,OTHER,image,AGENT_ACCEPT,AGENT_GEN
P5,AGENT_0036,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_AGENT,CREATE
P5,AGENT_0036,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0036,DesignJournal+Agent,OTHER,image,ELABORATE_IMAGE_CAPTION,ELABORATE
P5,AGENT_0034,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P5,AGENT_0029,DesignJournal+Agent,OTHER,image,STRUCTURE_REMOVE,STRUCTURE
P5,AGENT_0031,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0029,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0018,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0036,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0037,DesignJournal+Agent,echo,todo,AGENT_REJECT,AGENT_GEN
P5,AGENT_0037,DesignJournal+Agent,echo,todo,CREATE_TODO_USER,CREATE
P5,AGENT_0037,DesignJournal+Agent,OTHER,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0037,DesignJournal+Agent,OTHER,todo,ELABORATE_TODO,ELABORATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0032,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,AGENT_REJECT,AGENT_GEN
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0036,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0034,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0032,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0038,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P5,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P5,AGENT_0039,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0040,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0039,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0041,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0042,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0043,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0039,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0044,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P5,AGENT_0034,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0034,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0044,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0040,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0044,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0044,DesignJournal+Agent,OTHER,column,ELABORATE_COLUMN,ELABORATE
P5,AGENT_0045,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0045,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0045,DesignJournal+Agent,OTHER,image,ELABORATE_IMAGE_CAPTION,ELABORATE
P5,AGENT_0045,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0040,DesignJournal+Agent,OTHER,image,ELABORATE_IMAGE_CAPTION,ELABORATE
P5,AGENT_0044,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0046,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0047,DesignJournal+Agent,OTHER,image,AGENT_ACCEPT,AGENT_GEN
P5,AGENT_0047,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_AGENT,CREATE
P5,AGENT_0048,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0049,DesignJournal+Agent,OTHER,image,AGENT_ACCEPT,AGENT_GEN
P5,AGENT_0049,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_AGENT,CREATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0029,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0037,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0039,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0049,DesignJournal+Agent,spark,image,RELOCATE_IMAGE_AGENT,RELOCATE
P5,AGENT_0050,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0051,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0052,DesignJournal+Agent,OTHER,image,AGENT_ACCEPT,AGENT_GEN
P5,AGENT_0052,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_AGENT,CREATE
P5,AGENT_0037,DesignJournal+Agent,echo,todo,AGENT_REJECT,AGENT_GEN
P5,AGENT_0037,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0038,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0016,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0036,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0041,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0039,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0053,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0031,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0037,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0032,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0054,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0045,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P5,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_LOCAL,INTENT_EDIT
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0039,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0055,DesignJournal+Agent,OTHER,drawing,CREATE_DRAWING_USER,CREATE
P5,AGENT_0055,DesignJournal+Agent,OTHER,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0055,DesignJournal+Agent,OTHER,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0056,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0055,DesignJournal+Agent,OTHER,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0055,DesignJournal+Agent,OTHER,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0057,DesignJournal+Agent,OTHER,image,AGENT_ACCEPT,AGENT_GEN
P5,AGENT_0057,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_AGENT,CREATE
P5,AGENT_0057,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE_AGENT,RELOCATE
P5,AGENT_0058,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P5,AGENT_0059,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0059,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0057,DesignJournal+Agent,spark,image,RELOCATE_IMAGE_AGENT,RELOCATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0039,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0060,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0005,DesignJournal+Agent,insight,image,AGENT_REJECT,AGENT_GEN
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0061,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0039,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0062,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0063,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0063,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0064,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P5,AGENT_0065,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0065,DesignJournal+Agent,DELETE,image,PRUNE_IMAGE,PRUNE
P5,AGENT_0063,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0066,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0066,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0067,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0068,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0063,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0033,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0069,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0069,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0070,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0070,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0071,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0072,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0044,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0073,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0031,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0031,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0070,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0016,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0069,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0052,DesignJournal+Agent,insight,image,RELOCATE_IMAGE_AGENT,RELOCATE
P5,AGENT_0009,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0012,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0036,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0037,DesignJournal+Agent,echo,todo,RELOCATE_TODO,RELOCATE
P5,AGENT_0069,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0069,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0070,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0042,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0069,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0055,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0045,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0074,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P5,AGENT_0075,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0075,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0076,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0070,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0076,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0045,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0030,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0076,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0070,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0031,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P5,AGENT_0032,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0057,DesignJournal+Agent,spark,image,RELOCATE_IMAGE_AGENT,RELOCATE
P5,AGENT_0045,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0043,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0044,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
