designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P8,AGENT_0001,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0001,DesignJournal+Agent,OTHER,image,INTERACT_COMMENT,INTERACT
P8,AGENT_0002,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0003,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P8,AGENT_0004,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P8,AGENT_0005,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0006,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P8,AGENT_0007,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0003,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P8,AGENT_0008,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P8,AGENT_0009,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0010,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0011,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0009,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0012,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0012,DesignJournal+Agent,OTHER,image,INTERACT_COMMENT,INTERACT
P8,AGENT_0012,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0012,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P8,AGENT_0013,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P8,AGENT_0013,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P8,AGENT_0013,DesignJournal+Agent,OTHER,column,ELABORATE_COLUMN,ELABORATE
P8,AGENT_0013,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P8,AGENT_0013,DesignJournal+Agent,OTHER,column,ELABORATE_COLUMN,ELABORATE
P8,AGENT_0014,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P8,AGENT_0015,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P8,AGENT_0014,DesignJournal+Agent,OTHER,note,STRUCTURE_ADD,STRUCTURE
P8,AGENT_0011,DesignJournal+Agent,DELETE,connector,RELATE_DELETE_USER,RELATE
P8,AGENT_0013,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P8,AGENT_0016,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0017,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P8,AGENT_0018,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P8,AGENT_0019,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0020,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0020,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0021,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_LOCAL,INTENT_EDIT
P8,AGENT_0022,DesignJournal+Agent,insight,note,CREATE_NOTE_USER,CREATE
P8,AGENT_0022,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P8,AGENT_0022,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P8,AGENT_0023,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P8,AGENT_0024,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0025,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0026,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P8,AGENT_0027,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0028,DesignJournal+Agent,DELETE,connector,RELATE_DELETE_USER,RELATE
P8,AGENT_0027,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P8,AGENT_0029,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P8,AGENT_0030,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0029,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P8,AGENT_0031,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P8,AGENT_0031,DesignJournal+Agent,OTHER,note,INTERACT_REACTION,INTERACT
P8,AGENT_0032,DesignJournal+Agent,OTHER,drawing,CREATE_DRAWING_USER,CREATE
P8,AGENT_0033,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0032,DesignJournal+Agent,OTHER,drawing,RELOCATE_DRAWING,RELOCATE
P8,AGENT_0034,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P8,AGENT_0035,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P8,AGENT_0036,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P8,AGENT_0035,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0021,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_LOCAL,INTENT_EDIT
P8,AGENT_0001,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0002,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0003,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P8,AGENT_0003,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P8,AGENT_0005,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P8,AGENT_0009,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
